id,placeId,googlePlaceId,descriptorType,targetPlaceId,targetDisplayName,spatialRelationship,straightLineDistanceMeters,travelDistanceMeters,containment
1,1,ChIJm0lsvvTgi4cRxFRm4iA4S4A,landmark,ChIJg9qNEGzhi4cR_5hmu3lT8Ec,Swim beach,,246.51173,282.76877,
2,1,ChIJm0lsvvTgi4cRxFRm4iA4S4A,area,ChIJm0lsvvTgi4cRdWzAm-aLxKw,Split Rock Creek State Park,,,,OUTSKIRTS
3,2,ChIJEw2JNSbxi4cRhT60HTA1qRQ,area,ChIJEw2JNSbxi4cR_vAcWusiB-o,Blue Mounds State Park,,,,OUTSKIRTS
4,3,ChIJY9ASn30Ii4cRDXR6orNlTYA,area,ChIJY9ASn30Ii4cRtFMz0sVI3og,Lake Shetek State Park,,,,OUTSKIRTS
5,4,ChIJGzXYGB_xi4cRXjSnA1C2Bhs,area,ChIJEw2JNSbxi4cR_vAcWusiB-o,Blue Mounds State Park,,,,OUTSKIRTS
6,5,ChIJYUrVaiUJi4cRKyvAb9mbuO8,landmark,ChIJ7_63yGsJi4cRYjsmrJAsW70,Cabins @ Lake Shetek State Park,BESIDE,1.8543257,0.0042037964,
7,5,ChIJYUrVaiUJi4cRKyvAb9mbuO8,area,ChIJY9ASn30Ii4cRtFMz0sVI3og,Lake Shetek State Park,,,,OUTSKIRTS
8,6,ChIJ6QfYBKhNi4cRMQSY90dxBpY,landmark,ChIJC0TCSd1Vi4cRzbObIZivvss,Kilen Woods Campground,DOWN_THE_ROAD,71.45985,66.21577,
9,6,ChIJ6QfYBKhNi4cRMQSY90dxBpY,area,ChIJBwn5SC2r9IcR1_lrvw69Prw,Kilen Woods State Park,,,,WITHIN
10,8,ChIJmep2GS3w9IcR67kjJ8ffRB4,area,ChIJmep2GS3w9IcRTaDq1e_V12w,Lake Hanska County Park,,,,OUTSKIRTS
11,9,ChIJV22tf_ayjIcReKVwUVO8EXU,area,ChIJV22tf_ayjIcRtsc0OrokMLQ,Mini-Wakan State Park,,,,NEAR
12,13,ChIJCYreFNJUi4cR7Qcd4Dk4ZVQ,landmark,ChIJ6QfYBKhNi4cRMQSY90dxBpY,Kilen Woods State Park,WITHIN,81.81721,72.916626,
13,13,ChIJCYreFNJUi4cR7Qcd4Dk4ZVQ,landmark,ChIJC0TCSd1Vi4cRzbObIZivvss,Kilen Woods Campground,ACROSS_THE_ROAD,27.283493,6.7039084,
14,13,ChIJCYreFNJUi4cR7Qcd4Dk4ZVQ,area,ChIJBwn5SC2r9IcR1_lrvw69Prw,Kilen Woods State Park,,,,WITHIN
15,14,ChIJC0TCSd1Vi4cRzbObIZivvss,landmark,ChIJ6QfYBKhNi4cRMQSY90dxBpY,Kilen Woods State Park,WITHIN,75.8382,66.214874,
16,14,ChIJC0TCSd1Vi4cRzbObIZivvss,area,ChIJBwn5SC2r9IcR1_lrvw69Prw,Kilen Woods State Park,,,,WITHIN
17,16,ChIJFXJd8ChG9IcRQF_4Oik2pLc,area,ChIJFXJd8ChG9IcROfz2yk-Gzak,Minneopa State Park,,,,WITHIN
18,17,ChIJQ3nu5k-O9ocRIsAuHPc5zno,landmark,ChIJO1qHck-O9ocRDBHA_IT-AaE,Park Office,BESIDE,7.875951,1.2218647,
19,17,ChIJQ3nu5k-O9ocRIsAuHPc5zno,area,ChIJQ3nu5k-O9ocR1EywpNFpSV0,Sakatah Lake State Park,,,,WITHIN
20,18,ChIJ-fzw4gRH9IcR01_aWE_5dRc,landmark,ChIJmeK37CVH9IcRgqAjbURrbRM,Minneopa Falls Parking,AROUND_THE_CORNER,240.63748,258.30563,
21,18,ChIJ-fzw4gRH9IcR01_aWE_5dRc,area,ChIJFXJd8ChG9IcROfz2yk-Gzak,Minneopa State Park,,,,OUTSKIRTS
