id,googleName,primaryDisplayName,googlePlaceId,nationalPhoneNumber,internationalPhoneNumber,latitude,longitude,websiteUri,googleMapsUri,businessStatus,primaryType,goodForChildren,allowDogs,acceptCreditCards,acceptDebitCards,acceptCashOnly,freeParkingLot,paidParkingLot,freeStreetParking,wheelchairAccessibleParking,wheelchairAccessibleSeating,geminiGenerativeSummary,editorialSummary,regionCode,languageCode,postalCode,administrativeArea,locality,addressLines,state,formattedAddress,shortFormattedAddress,statePark,stateForest,stateWayside,nationalForest,countyPark,naturalWildlifeArea,cityPark,regularWeekdayDescriptions,currentWeekdayDescriptions
1,places/ChIJm0lsvvTgi4cRxFRm4iA4S4A,Split Rock Creek State Park,ChIJm0lsvvTgi4cRxFRm4iA4S4A,(507) 348-7908,+1 507-348-7908,43.895912,-96.366844,http://www.dnr.state.mn.us/state_parks/split_rock_creek/index.html,https://maps.google.com/?cid=9244544373996541124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,false,false,false,true,false,"Lakefront park, known for its hiking trails, fishing piers and boat rentals.","",US,en,56144,MN,Jasper,[336 50th Ave],MN,"336 50th Ave, Jasper, MN 56144","336 50th Ave, Jasper",true,false,false,false,false,false,false,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']","['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']"
2,places/ChIJEw2JNSbxi4cRhT60HTA1qRQ,Blue Mounds State Park,ChIJEw2JNSbxi4cRhT60HTA1qRQ,(507) 283-6050,+1 507-283-6050,43.70483,-96.189255,http://www.dnr.state.mn.us/state_parks/blue_mounds/,https://maps.google.com/?cid=1488779632595713669&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,true,true,false,true,false,"State park with trails, a campground, bison and prairie scenery.","A 100-foot Sioux quartzite cliff & bison herd draw hikers, climbers & campers to this sizable park.",US,en,56156,MN,Luverne,[1410 161st St],MN,"1410 161st St, Luverne, MN 56156","1410 161st St, Luverne",true,false,false,false,false,false,false,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']","['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']"
3,places/ChIJY9ASn30Ii4cRDXR6orNlTYA,Lake Shetek State Park,ChIJY9ASn30Ii4cRDXR6orNlTYA,(507) 763-3256,+1 507-763-3256,44.095055,-95.681854,http://www.dnr.state.mn.us/state_parks/lake_shetek/index.html,https://maps.google.com/?cid=9245157432260981773&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,false,false,false,true,false,"Grass-dotted park featuring camping sites, a beach, hiking trails and canoes for rent.","",US,en,56123,MN,Currie,[163 State Park Rd],MN,"163 State Park Rd, Currie, MN 56123","163 State Park Rd, Currie",true,false,false,false,false,false,false,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']","['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']"
4,places/ChIJGzXYGB_xi4cRXjSnA1C2Bhs,Blue Mounds State Park Campground,ChIJGzXYGB_xi4cRXjSnA1C2Bhs,"","",43.721035,-96.19131,"",https://maps.google.com/?cid=1947444343659246686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,campground,false,false,false,false,false,false,false,false,true,false,"","","","","","","",[],"","Mound Township, MN 56156, USA",Mound Township,true,false,false,false,false,false,false,[],[]
5,places/ChIJYUrVaiUJi4cRKyvAb9mbuO8,Oak Woods Campground @ Lake Shetek State Park,ChIJYUrVaiUJi4cRKyvAb9mbuO8,"","",44.101883,-95.69098,"",https://maps.google.com/?cid=17273727728964610859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,campground,true,true,false,false,false,false,false,false,true,false,"","",US,en,56123-1018,MN,Currie,[163 State Park Rd],MN,"163 State Park Rd, Currie, MN 56123","163 State Park Rd, Currie",true,false,false,false,false,false,false,[],[]
6,places/ChIJ6QfYBKhNi4cRMQSY90dxBpY,Kilen Woods State Park,ChIJ6QfYBKhNi4cRMQSY90dxBpY,(507) 662-6258,+1 507-662-6258,43.729095,-95.066635,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00196,https://maps.google.com/?cid=10810452509460005937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,false,false,false,true,false,Relaxed state park with campgrounds plus hiking and picnic areas and an outdoor volleyball court.,"",US,en,56150,MN,Lakefield,[50200 860th St],MN,"50200 860th St, Lakefield, MN 56150","50200 860th St, Lakefield",true,false,false,false,false,false,false,[],[]
7,places/ChIJU7iICmMyi4cRhjnp2p-1yBA,Red Rock Falls County Park,ChIJU7iICmMyi4cRhjnp2p-1yBA,"","",44.122265,-95.105286,https://www.co.cottonwood.mn.us/departments/services/parks/county_parks.php,https://maps.google.com/?cid=1209416198126123398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,true,false,"Picturesque park known for waterfalls and a pond, as well as hiking and picnics.","",US,en,56083,MN,Sanborn,[48771 250th St],MN,"48771 250th St, Sanborn, MN 56083","48771 250th St, Sanborn",true,false,false,false,false,false,false,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']","['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']"
8,places/ChIJmep2GS3w9IcR67kjJ8ffRB4,Lake Hanska County Park,ChIJmep2GS3w9IcR67kjJ8ffRB4,(507) 439-6411,+1 507-439-6411,44.120068,-94.5513,https://www.browncountymn.gov/488/Lake-Hanska-Park,https://maps.google.com/?cid=2181114166002301419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,park,true,true,false,false,false,false,false,false,true,false,"Lakeside park featuring playgrounds, shady beaches, fishing and camping.","",US,en,56041,MN,Hanska,[Countryview Rd],MN,"Countryview Rd, Hanska, MN 56041","Countryview Rd, Hanska",true,false,false,false,false,false,false,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']","['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']"
9,places/ChIJV22tf_ayjIcReKVwUVO8EXU,Mini-Wakan State Park,ChIJV22tf_ayjIcReKVwUVO8EXU,(712) 337-3211,+1 712-337-3211,43.497776,-95.10333,https://www.iowadnr.gov/locations/mini-wakan-state-park,https://maps.google.com/?cid=8435730643076294008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,state_park,true,true,false,false,false,false,false,false,true,false,"State park offering a picnic area, restrooms, boat ramp, and shelter house, plus sunset views.","",US,en,51360,IA,Spirit Lake,[24490 100th St],IA,"24490 100th St, Spirit Lake, IA 51360","24490 100th St, Spirit Lake",true,false,false,false,false,false,false,"['Monday: 4:00 AM – 10:30 PM', 'Tuesday: 4:00 AM – 10:30 PM', 'Wednesday: 4:00 AM – 10:30 PM', 'Thursday: 4:00 AM – 10:30 PM', 'Friday: 4:00 AM – 10:30 PM', 'Saturday: 4:00 AM – 10:30 PM', 'Sunday: 4:00 AM – 10:30 PM']","['Monday: 4:00 AM – 10:30 PM', 'Tuesday: 4:00 AM – 10:30 PM', 'Wednesday: 4:00 AM – 10:30 PM', 'Thursday: 4:00 AM – 10:30 PM', 'Friday: 4:00 AM – 10:30 PM', 'Saturday: 4:00 AM – 10:30 PM', 'Sunday: 4:00 AM – 10:30 PM']"
10,places/ChIJ9xoY3gCr9IcRArMVo_qNBqg,Belmont County Park,ChIJ9xoY3gCr9IcRArMVo_qNBqg,(507) 847-2525,+1 507-847-2525,43.717457,-95.03466,https://www.co.jackson.mn.us/?SEC=77408091-F1F9-40A1-BBD4-E399958D0A60,https://maps.google.com/?cid=12107520755849605890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,hiking_area,true,false,false,false,false,false,false,false,true,false,"","",US,en,56143,MN,Jackson,[52005 850th St],MN,"52005 850th St, Jackson, MN 56143","52005 850th St, Jackson",true,false,false,false,false,false,false,"['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']","['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']"
