CAMPING_UNIT_TYPE,CAMPING_UNIT_NAME,CAMPSITE_TYPE_NAME,CAMPING_UNIT_DESCRIP,CAMPGROUND_LOOP_NAME,CAMPGROUND_NAME,CAMPGROUND_TYPE_NAME,CONTAINING_MGMT_UNIT_NAME,LAM_PROGRAM_PROJECT_CODE,CONTAINING_MGMT_UNIT_TYPE_NAME,SHAPE_COLLECTION_METHOD,AMPS_30_FLAG,AMPS_50_FLAG,SITE_PAD_LENGTH_FT,SITE_PAD_WIDTH_FT,SITE_PAD_TYPE_NAME,PULL_THROUGH_BACK_IN_FLAG,LEFT_SLIDE_OUT_FLAG,RIGHT_SLIDE_OUT_FLAG,TENT_PAD_DIMENSIONS_FT_X_FT,TENT_PAD_TYPE_NAME,DISTANCE_TO_WATER_BODY,DISTANCE_TO_RESTROOM,DISTANCE_TO_SHOWER,DISTANCE_TO_DUMP_STATION,HIKE_IN_DISTANCE,PICNIC_TABLE_FLAG,ADA_ACCESSIBLE_FLAG,DIRECTIONS,FOOD_LOCKER_FLAG,WATER_FRONT_FLAG,PETS_ALLOWED_FLAG,CAPACITY_PEOPLE,CAPACITY_VEHICLES,FIRE_RING_FLAG,GRILL_TYPE_NAME,SEATING_TYPE_NAME,SHADE_TYPE_NAME,COUNTY_NAME,PAT_AREA_NAME,PAT_DISTRICT_NAME,DNR_REGION_NAME,DNR_REGION_CODE,MN_TOURISM_REGION_NAME,STABLE_PROD_GUID,Shape
Campsite,27E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,56,12,Gravel,B,t,t,12x12,Wood Chips,.2 mile,560',560',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{C276804C-26FF-4809-BD52-C72009CA3046},POINT (635248.1323999995 5245302.819)
Campsite,28,Drive-In,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,72,12,Gravel,B,t,t,12x15,Wood Chips,.2 mile,460',460',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{29C680B9-A122-4C6E-97D0-2C6AFEB38E89},POINT (635216.4227999998 5245273.4583)
Campsite,29,Drive-In,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,75,12,Gravel,B,t,t,12x15,Wood Chips,.2 mile,400',400',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{A09E9151-A63D-4C18-AED8-BC1D0F8EF1E5},POINT (635212.8995000003 5245248.795399999)
Campsite,30E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,55,12,Gravel,B,f,t,15x20,Wood Chips,.2 mile,345',345',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{2C2D0ED4-135C-4123-B9CC-CA55F4E78DCF},POINT (635256.9406000003 5245225.3068)
Campsite,31E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,69,12,Gravel,B,t,f,12x18,Gravel/ Sand,.2 mile,255',255',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{6C3F5A60-70E0-4B6C-81E9-D594718A4C71},POINT (635212.8995000003 5245202.4054000005)
Campsite,32E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,46,12,Gravel,B,f,t,12x12,Wood Chips,.2 mile,215',215',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{4B62F319-5E09-47E7-9DE4-4AA24E75D5E8},POINT (635247.5451999996 5245180.6785)
Campsite,33E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,72,12,Gravel,B,t,t,15x20,Wood Chips,.2 mile,145',145',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{B1AD0E39-BC6D-4E25-A767-E114806F1832},POINT (635202.3296999997 5245177.7425)
Campsite,CH34E,Drive-In Electric,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,t,66,12,Gravel,B,f,t,15x15,Wood Chips,.2 mile,65',65',5 miles,,t,,,f,,t,6,1,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{7BA8C94D-6904-4722-B56F-DCC843AB0416},POINT (635197.0448000003 5245147.794500001)
Campsite,W6,Walk-In,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,14x15,Wood Chips,.2 mile,665',665',,,t,,,t,,t,6,2,t,On Fire Ring,,No ,Lake,2C,4,Northeast Region,2,Northeast,{79FDB0A1-4630-423C-BC33-7E543F63678C},POINT (635390.7605999997 5245023.4954)
Campsite,W7,Walk-In,,,Baptism River Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,13x18,Wood Chips,.2 mile,860',860',,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast,{130F6DCA-946B-47BC-B3F6-C095D6432ED8},POINT (635366.2600999996 5244949.9936999995)
