OGC_FID,STABLE_PRO,SHAPE_COLL,PAT_MGMT_U,LAM_PROGRA,MGMT_UNIT_,COUNTY_NAM,MANAGING_M,PAT_AREA_N,PAT_DISTRI,DNR_REGION,TIME_SENSI,YEAR_ESTAB,geom
0,{4C6E1C26-2C5A-44D8-85B2-FCED7FE66B25},1,Lac qui Parle State Park,SPK00197,State Park,Lac Qui Parle,Lac qui Parle State Park,4A,10,Southern Region,,1959,POINT (271986.78920000046 4989370.5504)
1,{1C93592A-5432-4E96-A988-BDF2818F5D8D},1,Forestville Mystery Cave State Park,SPK00148,State Park,Fillmore,Forestville Mystery Cave State Park,3C,8,Central Region,,1963,POINT (562061.5105999997 4831473.561799999)
2,{9D5D3805-5E15-4D26-A771-8626452D6368},1,William O'Brien State Park,SPK00283,State Park,Washington,William O'Brien State Park,3B,7,Central Region,,1947,POINT (518560.77799999993 5008011.196)
3,{FE2244A7-69DA-4512-869D-B7BCF885EDF4},1,Charles A. Lindbergh State Park,SPK00136,State Park,Morrison,Charles A. Lindbergh State Park,3A,6,Central Region,,1931,POINT (392432.875 5090413)
4,{DB7D361A-F203-482A-9493-78D1849AEB1F},1,Lake Maria State Park,SPK00217,State Park,Wright,Lake Maria State Park,3A,6,Central Region,,1963,POINT (426976.9946999997 5018633.824200001)
5,{71FEA156-1B15-49F5-84E3-856189AA5A2B},1,Lake Shetek State Park,SPK00220,State Park,Murray,Lake Shetek State Park,4B,10,Southern Region,,1937,POINT (285409.12399999984 4885895.499)
6,{7CF4824B-625E-47DA-8D31-00A4BEFEF77F},1,Nerstrand Big Woods State Park,SPK00241,State Park,Rice,Nerstrand Big Woods State Park,4D,9,Southern Region,,1945,POINT (492742.8711000001 4909838.232899999)
7,{79376695-4F44-4D38-A64E-327FFC3FFB61},1,Moose Lake State Park,SPK00239,State Park,Carlton,Banning State Park,2D,5,Northeast Region,,1971,POINT (520295.29700000025 5142567.506999999)
8,{A526330C-2810-4CC9-974B-3307A8322D21},1,Split Rock Creek State Park,SPK00267,State Park,Pipestone,Blue Mounds State Park,4B,10,Southern Region,,1937,POINT (229562.7000000002 4865829.732000001)
9,{79FCFB7C-35DA-4218-B7B9-29A6F6ADFE64},1,Savanna Portage State Park,SPK00259,State Park,Aitkin,Savanna Portage State Park,2F,5,Northeast Region,,1961,POINT (480916.52720000036 5178223.762599999)
10,{4F3D9AE2-6B3E-4F3D-B4ED-EEA4E3DC2628},1,St. Croix State Park,SPK00253,State Park,Pine,St. Croix State Park,2D,5,Northeast Region,,1943,POINT (529581.6023000004 5095452.869000001)
11,{ED635D27-CF86-4128-B718-41DF4C2AFB5D},1,Tettegouche State Park,SPK00269,State Park,Lake,Tettegouche State Park,2C,4,Northeast Region,,1979,POINT (636250.0416000001 5244511.6339)
12,{7F46D6D1-A2BC-4AB4-A38A-2DA3FD7F082D},1,Father Hennepin State Park,SPK00142,State Park,Mille Lacs,Mille Lacs Kathio State Park,3A,6,Central Region,,1941,POINT (462883.2600999996 5109497.974199999)
13,{016C7C9D-BC26-4E72-8844-0D415DE08813},1,Zippel Bay State Park,SPK00284,State Park,Lake of the Woods,Big Bog State Recreation Area,1C,2,Northwest Region,,1959,POINT (364268.11959999986 5411807.4519)
14,{233256DA-7D6F-4BB1-888C-A6D2876F68A9},1,Flandrau State Park,SPK00145,State Park,Brown,Flandrau State Park,4C,9,Southern Region,,1937,POINT (383572.48110000044 4905588.853700001)
15,{6A999956-3E81-465F-A281-761BA26D078C},1,Franz Jevne State Park,SPK00157,State Park,Koochiching,Big Bog State Recreation Area,1C,2,Northwest Region,,1967,POINT (422025.6796000004 5388165.8858)
16,{1253E392-6398-40EB-B3D9-4ADEB52517CA},1,Fort Snelling State Park,SPK00154,State Park,Dakota,Fort Snelling State Park,3B,7,Central Region,,1961,POINT (484518.4179999996 4968679.598999999)
