OGC_FID,FC_LOAD_OB,STABLE_PRO,GLOBALID,SHAPE_COLL,FACILITY_N,SITE_TYPE,STATE_FORE,COUNTY,PAT_ADMIN_,DNR_REGION,STABLE_P_1,SHAPE_CO_1,ESRI_OID,geom
0,0,{E693164D-81D2-48A2-BFC1-04A0A336A026},{6D36C4DC-302E-4242-923A-1AABD7ADC79A},1,Faunce Campground,Campground,Beltrami Island State Forest,,Zippel Bay State Park,0,{E693164D-81D2-48A2-BFC1-04A0A336A026},Heads-Up Digitizing,1,POINT (356038.8839999996 5383754.499)
1,0,{2D67F55D-5DAC-4CC5-98BC-CC3778729AC3},{2181E4FE-3F45-414D-A824-738FD424961D},1,Birch Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Birch Lakes State Forest,,Charles A. Lindbergh State Park,0,{2D67F55D-5DAC-4CC5-98BC-CC3778729AC3},Heads-Up Digitizing,2,POINT (362294.7170000002 5070270.005999999)
2,0,{479B2614-53B8-4F79-89D1-38641897FA6B},{49DEEF6E-1D77-4B84-93F6-154D205F95DC},1,Moose Lake Campground,Campground,Bowstring State Forest,,Scenic State Park,0,{479B2614-53B8-4F79-89D1-38641897FA6B},Heads-Up Digitizing,4,POINT (449268.5549999997 5249225.515000001)
3,0,{F455E7E9-9916-4CCD-9B11-E38C01671951},{0CE24DB7-FDDB-40D0-8D93-F36B4B240DED},1,Cottonwood Lake Campground,Campground,Bowstring State Forest,,Scenic State Park,0,{F455E7E9-9916-4CCD-9B11-E38C01671951},Heads-Up Digitizing,3,POINT (447378.24980000034 5252911.4103999995)
4,0,{43D7D49A-9203-465B-A70D-D0655FD86259},{05BD6BB0-D9B5-44E8-814D-9FB11152209F},1,"Snake River, River's End Campground - Wild River State Park",Campground,Chengwatana State Forest,,Wild River State Park,0,{43D7D49A-9203-465B-A70D-D0655FD86259},Heads-Up Digitizing,5,POINT (517093.19299999997 5074351.774)
5,0,{47590399-22A2-4BD2-8F85-8336BD568914},{7B40F9D4-04BA-42F9-9253-B3B1A39780D6},1,Indian Lake Campground - Split Rock Lighthouse State Park,Campground,Cloquet Valley State Forest,,Split Rock Lighthouse State Park,0,{47590399-22A2-4BD2-8F85-8336BD568914},Heads-Up Digitizing,6,POINT (587148.6421999997 5236003.2128)
6,0,{A981EA77-1DAB-44F0-B98C-C62708DA4C8B},{91F6E845-0642-488A-9549-A6E1122FF121},1,Greer Lake Campground,Campground,Crow Wing State Forest,,Cuyuna Country State Recreation Area,0,{A981EA77-1DAB-44F0-B98C-C62708DA4C8B},Heads-Up Digitizing,7,POINT (420404.9759999998 5164832.881999999)
7,0,{57197DBB-8648-4DA4-9537-896462188886},{6114008C-3CCE-4933-B92B-5903FFF86DDC},1,Finland Campground and Day Use Area,State Forest Campground and Day Use Area,Finland State Forest,,Tettegouche State Park,0,{57197DBB-8648-4DA4-9537-896462188886},Heads-Up Digitizing,10,POINT (632707.6129999999 5252621.7129999995)
8,0,{2194145E-C32E-453D-97E4-DE7B5FC9F11F},{39ECF407-A2DE-43B0-A4D3-5E48610192E6},1,Eckbeck Campground and Day Use Area,State Forest Campground and Day Use Area,Finland State Forest,,Tettegouche State Park,0,{2194145E-C32E-453D-97E4-DE7B5FC9F11F},Heads-Up Digitizing,9,POINT (633807.6370000001 5248181.089)
9,0,{54C4C1DA-5456-4DED-822F-AA7090BFDA45},{33C97678-A2A9-4B7C-A46D-67062B34DE05},1,Willow River Campground,Campground,General C. C. Andrews State Forest,,Banning State Park,0,{54C4C1DA-5456-4DED-822F-AA7090BFDA45},Heads-Up Digitizing,13,POINT (513235.3119999999 5130463.422)
10,0,{37775FC8-DFE9-4C65-B2FE-2CBBEEEEF361},{2D337204-7BEE-4982-8E6C-D8EDB746A9B9},1,Thistledew Lake Campground and Day Use Area,State Forest Campground and Day Use Area,George Washington State Forest,,McCarthy Beach State Park,0,{37775FC8-DFE9-4C65-B2FE-2CBBEEEEF361},Heads-Up Digitizing,15,POINT (482195.3320000004 5294095.229)
11,0,{611249CA-87CB-4A94-B53E-468F59E2F6EF},{5B78AE61-2111-4012-9109-12E75FD312FA},1,Stony Brook Horse Campground,Horse Campground,George Washington State Forest,,McCarthy Beach State Park,0,{611249CA-87CB-4A94-B53E-468F59E2F6EF},Heads-Up Digitizing,14,POINT (493324.8877999997 5285396.1019)
12,0,{782C1710-888A-45D9-9F5F-F37CCDF783B5},{DEF7530A-B3DA-4E71-B840-93496A6E5B94},3,Pelican Beach Day Use Area,State Forest Day Use Area,Crow Wing State Forest,,Cuyuna Country State Recreation Area,0,{782C1710-888A-45D9-9F5F-F37CCDF783B5},Unknown,8,POINT (411008.39080000017 5155572.034399999)
13,0,{F0C794F6-2E16-454C-9859-7C0ADFD048D5},{B6B71A5F-E4B8-4733-80AF-7D44ECE5BF0A},3,Shafer Lake Day Use Area,State Forest Day Use Area,Pillsbury State Forest,,Crow Wing State Park,0,{F0C794F6-2E16-454C-9859-7C0ADFD048D5},Unknown,16,POINT (390705.94299999997 5143686.603)
