id,parkId,campgroundId,postalCode,city,stateCode,countryCode,provinceTerritoryCode,line1,line2,line3,type
1,,2,37878,Tallassee,TN,US,"",6537 Abrams Creek Road,"","",Physical
2,,2,37738,Gatlinburg,TN,US,"",107 Park Headquarters Road,"","",Mailing
3,,3,21788,Thurmont,MD,US,"",6602 Foxville Road,"","",Mailing
4,,4,59035,Fort Smith,MT,US,"",Afterbay Campground,Rte 200,"",Physical
5,,4,59035,Fort Smith,MT,US,"",PO Box 7458,"","",Mailing
6,,5,65466,Eminence,MO,US,"",5170 Akers Campground RD,"","",Physical
7,,5,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
8,,6,85321,Ajo,AZ,US,"",Alamo Canyon Road,"","",Physical
9,,6,85321,Ajo,AZ,US,"",10 Organ Pipe Drive,"","",Mailing
10,,7,65466,Eminence,MO,US,"",11544 Alley Spring Residence Road,"","",Physical
11,,7,63965,Van Buren,MO,US,"",P. O. Box 490,"","",Mailing
12,,8,42653,Whitley City,KY,US,"",State Hwy 700,"","",Physical
13,,8,37841,Oneida,TN,US,"",4564 Leatherwood Road,"","",Mailing
14,,9,96950,Saipan,MP,US,"","","","",Physical
15,,10,93001,Anacapa Island,CA,US,"",Anacapa Island Campground,"","",Physical
16,,10,93001,Ventura,CA,US,"",1901 Spinnaker Drive,"","",Mailing
17,,11,86040,Page,AZ,US,"",537 Marina Parkway HWY N22 B,"","",Physical
18,,11,86040,Page,AZ,US,"",PO Box 880,"","",Mailing
19,,13,59936,West Glacier,MT,US,"",PO Box 128,Attn: Apgar Campgrounds,"",Mailing
20,,14,25907,Prince,WV,US,"",Army Camp Campground,"","",Physical
21,,14,25846,Glen Jean,WV,US,"","PO Box 246, 104 Main Street","","",Mailing
22,,15,80517,Estes Park,CO,US,"",Aspenglen Campground,Rocky Mountain National Park,"",Physical
23,,15,80517,Estes Park,CO,US,"",Aspenglen Campground,1000 US Highway 36,"",Mailing
24,,16,93271,Sequoia National Park,CA,US,"","Mile 19.1, Mineral King Road","","",Physical
25,,16,93271,Three Rivers,CA,US,"",47050 Generals Highway,"","",Mailing
26,,19,59936,West Glacier,MT,US,"",Avalanche Campground,"","",Physical
27,,19,59936,West Glacier,MT,US,"",PO Box 128,Attn: Avalanche Campground,"",Mailing
28,,20,93633,Grant Grove,CA,US,"",Azalea Drive,"","",Physical
29,,20,93271,Three Rivers,CA,US,"",47050 Generals Highway,"","",Mailing
30,,21,65548,Mountain View,MO,US,"",County Road 493B,"","",Physical
31,,21,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
32,,22,21811,Berlin,MD,US,"",Ranger Station/Campground Office - Maryland District,6633 Bayberry Drive,"",Physical
33,,22,21811,Berlin,MD,US,"",Business Offices - Maryland District,7206 National Seashore Lane,"",Mailing
34,,24,21811,Berlin,MD,US,"",Ranger Station/Campground Office - Maryland District,6633 Bayberry Drive,"",Physical
35,,24,21811,Berlin,MD,US,"",Business Offices - Maryland District,7206 National Seashore Lane,"",Mailing
36,,25,21811,Berlin,MD,US,"",Ranger Station/Campground Office - Maryland District,6633 Bayberry Drive,"",Physical
37,,25,21811,Berlin,MD,US,"",Business Offices - Maryland District,7206 National Seashore Lane,"",Mailing
38,,27,21811,Berlin,MD,US,"",Ranger Station/Campground Office - Maryland District 6633 Bayberry Drive,6633 Bayberry Drive,"",Physical
39,,27,21811,Berlin,MD,US,"",Business Offices - Maryland District,7206 National Seashore Lane,"",Mailing
40,,28,88310,Alamogordo,NM,US,"",19955 Highway 70 West,"","",Physical
41,,29,84775,Torrey,UT,US,"","","","",Physical
42,,30,96063,Mineral,CA,US,"",38050 Highway 36 East,Lassen Volcanic National Park,Park Headquarters,Physical
43,,30,96063,Mineral,CA,US,"",PO Box 100,Lassen Volcanic National Park,"",Mailing
44,,32,81146,Mosca,CO,US,"",11999 State Highway 150,Visitor Center,"",Physical
45,,32,81146,Mosca,CO,US,"",11999 State Highway 150,Visitor Center,"",Mailing
46,,34,20176,Lander,MD,US,"","","","",Physical
47,,35,37738,Gatlinburg,TN,US,"","","","",Physical
48,,36,37841,Oneida,TN,US,"",145 Campground Road,"","",Physical
49,,36,37841,Oneida,TN,US,"",4564 Leatherwood Road,"","",Mailing
50,,37,82413,Lovell,WY,US,"",20 Highway 14A East,"","",Physical
51,,38,99826,Bartlett Cove,AK,US,"",Along the shoreline of Bartlett Cove,"","",Physical
52,,38,99826,Gustavus,AK,US,"",PO Box 140,"","",Mailing
53,,39,49630,Empire,MI,US,"",9922 Front Street,"","",Physical
54,,39,49630,Empire,MI,US,"",9922 Front Street,"","",Mailing
55,,40,65571,Summersville,MO,US,"",County Road 106-425,"","",Physical
56,,40,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
57,,41,21811,Berlin,MD,US,"",Ranger Station/Campground Office - Maryland District,6633 Bayberry Drive,"",Physical
58,,41,21811,Berlin,MD,US,"",Business Offices - Maryland District,7206 National Seashore Lane,"",Mailing
59,,42,42649,Strunk,KY,US,"",Lee Hollow Road,"","",Physical
60,,42,37841,Oneida,TN,US,"",4564 Leatherwood Road,"","",Mailing
61,,43,34141,Ochopee,FL,US,"",33100 Tamiami Trail East,"","",Mailing
62,,45,49931,Houghton,MI,US,"",800 E. Lakeshore Dr.,"","",Physical
63,,45,49931,Houghton,MI,US,"",800 E. Lakeshore Dr.,"","",Mailing
64,,46,86040,Page,AZ,US,"",Ferry Swale Rd,Off Hwy 89,"",Physical
65,,46,86040,page,AZ,US,"",Glen Canyon National Recreation Area,PO Box 1507,"",Mailing
66,,47,92277,Twentynine Palms,CA,US,"",Pinto Basin Road,"","",Physical
67,,47,92277,Twentynine Palms,CA,US,"",74485 National Park Drive,"","",Mailing
68,,48,82714,Devils Tower,WY,US,"",Hwy 110 Bldg 170,"","",Physical
69,,48,82714,Devils Tower,WY,US,"",Po Box 10,"","",Mailing
70,,49,49931,Houghton,MI,US,"",800 E. Lakeshore Drive,"","",Physical
71,,49,49931,Houghton,MI,US,"",800 E. Lakeshore Drive,"","",Mailing
72,,51,94965,Sausalito,CA,US,"",Bicentennial Campground,Conzelman Road,Marin Headlands,Physical
73,,51,94123-0022,San Francisco,CA,US,"",Golden Gate National Recreation Area,Building 201,Fort Mason,Mailing
74,,52,37821,Newport,TN,US,"",236 Big Creek Park Road,"","",Physical
75,,52,37738,Gatlinburg,TN,US,"",107 Park Headquarters Road,"","",Mailing
76,,53,22851,Robertson,VA,US,"",304 Big Meadows Access Road,"","",Physical
77,,53,22835,Luray,VA,US,"",Shenandoah National Park,Attn: Big Meadows Campground,3655 Hwy 211 E,Mailing
78,,56,04765,Patten,ME,US,"",PO Box 446,"","",Mailing
79,,57,63965,Van Buren,MO,US,"",State Highway 103,"","",Physical
80,,57,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
81,,58,63965,Kelly Township,MO,US,"",NPS Road 219,"","",Physical
82,,58,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
83,,59,21782,Mercersville,MD,US,"","","","",Physical
84,,60,49931,Houghton,MN,US,"",800 E. Lakeshore Drive,"","",Physical
85,,60,49931,Houghton,MN,US,"",800 E. Lakeshore Drive,"","",Mailing
86,,61,78418,Corpus Christi,TX,US,"",Padre Island National Seashore,20420 Park Road 22,"",Physical
87,,61,78480,Corpus Christi,TX,US,"",Padre Island National Seashore,P.O. Box 181300,"",Mailing
88,,62,59035,Fort Smith,MT,US,"",Bighorn Lake at dayboard 5,"","",Physical
89,,62,59035,Fort Smith,MT,US,"",P.O. Box 7458,"","",Mailing
90,,63,92332,Essex,CA,US,"",Black Canyon Road,"","",Physical
91,,63,92332,Barstow,CA,US,"",2701 Barstow Road,"","",Mailing
92,,64,92284,Yucca Valley,CA,US,"",9800 Black Rock Cyn,"","",Physical
93,,64,92277,Twentynine Palms,CA,US,"",74485 National Park Drive,"","",Mailing
94,,65,04660,Otter Creek,ME,US,"",155 Blackwoods Drive,"","",Physical
95,,65,04609,Bar Harbor,ME,US,"",PO Box 177,"","",Mailing
96,,66,79036,Fritch,TX,US,"",419 E. Broadway,"","",Physical
97,,66,79036,Fritch,TX,US,"",P.O. Box 1460,"","",Mailing
98,,67,42649,Strunk,KY,US,"",5238 Mine 18 Road,"","",Physical
99,,67,37841,Oneida,TN,US,"",4564 Leatherwood Road,"","",Mailing
100,,69,65548,Mountain View,MO,US,"",County Road OO-493,"","",Physical
101,,69,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
102,,72,33033,Homestead,FL,US,"",Boca Chita Key,"","",Physical
103,,72,33033,Homestead,FL,US,"",9700 SW 328th Street,"","",Mailing
104,,74,89005,Boulder City,NV,US,"",601 Nevada Way,"","",Physical
105,,74,89005,Boulder City,NV,US,"",601 Nevada Way,"","",Mailing
106,,75,89005,Boulder City,NV,US,"",601 Nevada Way,"","",Physical
107,,75,89005,Boulder City,NV,US,"",601 Nevada Way,"","",Mailing
108,,77,59936,West Glacier,MT,US,"","","","",Physical
109,,77,59936,West Glacier,MT,US,"",PO Box 128,Attn: Bowman Campground,"",Mailing
110,,78,96095,Whiskeytown,CA,US,"","","","",Physical
111,,79,96095,Whiskeytown,CA,US,"","","","",Physical
112,,82,82190,Yellowstone National Park,WY,US,"",GPS Coordinates: N 44 32.070 W 110 26.218,"","",Physical
113,,82,82190,Yellowstone National Park,WY,US,"",PO Box 165,"","",Mailing
114,,83,65466,Eminence Township,MO,US,"",NPS Road 108,"","",Physical
115,,83,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
116,,84,25830,Cunard,WV,US,"",Brooklyn Campground,"","",Physical
117,,84,25846,Glen Jean,WV,US,"","PO Box 246, 104 Main Street","","",Mailing
118,,85,99613,King Salmon,AK,US,"",Brook Camp,Katmai National Park,"",Physical
119,,85,99613,King Salmon,AK,US,"",PO Box 7,"","",Mailing
120,,86,93271,Sequoia National Park,CA,US,"","Mile 6, Generals Highway","","",Physical
121,,86,93271,Three Rivers,CA,US,"",47050 Generals Hwy,"","",Mailing
122,,91,72687,Yellville,AR,US,"",HWY 14 S,"","",Physical
123,,91,72687,Yellville,AR,US,"",HWY 14 S,"","",Mailing
124,,92,79036,Fritch,TX,US,"",419 E. Broadway,"","",Physical
125,,92,79036,Fritch,TX,US,"",P.O. Box 1460,"","",Mailing
126,,93,84533,Lake Powell,UT,US,"",Bullfrog RV & Campground,Lake Powell Resorts & Marinas,Hwy 276,Physical
127,,93,86040,Page,AZ,US,"",Lake Powell Resorts & Marinas,Bullfrog RV & Campground,PO Box 1926,Mailing
128,,94,34141,ochopee,FL,US,"",18495 Burns Road,"","",Physical
129,,94,34141,ochopee,FL,US,"",33100 Tamiami Trail East,"","",Mailing
130,,95,25862,Lansing,WV,US,"",83 Burnwood Campground Road,"","",Physical
131,,95,25846,Glen Jean,WV,US,"","PO Box 246, 104 Main Street","","",Mailing
132,,97,96071,Old Station,CA,US,"",Butte Lake Campground,"","",Physical
133,,97,96063,Mineral,CA,US,"",PO Box 100,"","",Mailing
134,,98,22025,Dumfries,VA,US,"","16450 Pleasant Road, Dumfries, VA 22025","","",Physical
135,,98,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
136,,100,55347,Triangle,VA,US,"",5000 Scenic Drive,"","",Physical
137,,100,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
138,,101,22172,Triangle,VA,US,"",4990 Scenic Drive,"","",Physical
139,,101,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
140,,102,22025,Dumfries,VA,US,"",16675 Pleasant Road,"","",Physical
141,,102,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
142,,103,22172,Triangle,VA,US,"",17425 Mawavi Road,"","",Physical
143,,103,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
144,,104,21750,Woodmont,MD,US,"","","","",Physical
145,,105,37882,Townsend,TN,US,"",10042 Campground Drive,"","",Physical
146,,105,37738,Gatlinburg,TN,US,"",107 Park Headquarters Road,"","",Mailing
147,,106,37882,Townsend,TN,US,"",10042 Campground Drive,"","",Physical
148,,106,37738,Gatlinburg,TN,US,"",107 Park Headquarters Road,"","",Mailing
149,,107,21777,Point of Rocks,MD,US,"","","","",Physical
150,,109,89040,Overton,NV,US,"",100 Callville Bay Rd,"","",Physical
151,,109,89040,Overton,NV,US,"",100 Callville Bay Rd,"","",Mailing
152,,111,21788,Thurmont,MD,US,"",15001 Park Central Road,"","",Physical
153,,111,21788,Thurmont,MD,US,"",6602 Foxville Road,"","",Mailing
154,,112,21788,Thurmont,MD,US,"",14764 Park Central Road,"","",Physical
155,,112,21788,Thurmont,MD,US,"",6602 Foxville Road,"","",Mailing
156,,113,99129,Fruitland,WA,US,"",6699 Speckled Bird Way,"","",Physical
157,,113,99203,Spokane,WA,US,"",PO Box 8743,"","",Mailing
158,,114,21780,Sabillasville,MD,US,"",14840 Manahan Road,"","",Physical
159,,114,21788,Thurmont,MD,US,"",6602 Foxville Road,"","",Mailing
160,,115,32169,New Smyrna Beach,FL,US,"",7611 S Atlantic Ave,"","",Physical
161,,115,32169,New Smyrna Beach,FL,US,"",7611 S Atlantic Ave,"","",Mailing
162,,116,82190,Yellowstone National Park,WY,US,"",GPS Coordinates: N 44 44.118 W110 29 17,"","",Physical
163,,116,82190,Yellowstone National Park,WY,US,"",PO Box 165,"","",Mailing
164,,117,99840,Skagway,AK,US,"","","","",Physical
165,,118,86054,Shonto,AZ,US,"",Navajo National Monument - Canyon View Campground,End of AZ Highway 564,"",Physical
166,,118,86054,Shonto,AZ,US,"",Navajo National Monument,P.O. BOX 7717,"",Mailing
167,,119,93633,Kings Canyon National Park,CA,US,"",Mile 32.4 CA-180,"","",Physical
168,,119,93271,Three Rivers,CA,US,"",47050 Generals Highway,"","",Mailing
169,,120,27920,Buxton,NC,US,"",46700 Lighthouse Road,"","",Physical
170,,120,27954,Manteo,NC,US,"",Cape Hatteras National Seashore,1401 National Park Drive,"",Mailing
171,,121,49931,Houghton,MI,US,"",800 E. Lakeshore Drive,"","",Physical
172,,121,49931,Houghton,MI,US,"",800 E. Lakeshore Drive,"","",Mailing
173,,122,72641,Jasper,AR,US,"",none,"","",Physical
174,,122,72641,Jasper,AR,US,"",none,"","",Mailing
175,,123,37876,Waynesville,NC,US,"",3576 Ranger Station Road,"","",Physical
176,,123,37738,Gatlinburg,TN,US,"",107 Park Headquarters Road,"","",Mailing
177,,124,97523,Cave Junction,OR,US,"",Oregon Caves NM and Preserve,19000 Caves Hwy,"",Physical
178,,124,97523,Cave Junction,OR,US,"",Oregon Caves NM and Preserve,19000 Caves Hwy,"",Mailing
179,,125,79036,Fritch,TX,US,"",419 E. Broadway,"","",Physical
180,,125,79036,Fritch,TX,US,"",P.O. Box 1460,"","",Mailing
181,,126,65501,Current Township,MO,US,"",NPS Road 154,"","",Physical
182,,126,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
183,,127,57750,Interior,SD,US,"",20681 South Dakota Highway 240,"","",Physical
184,,127,57750,Interior,SD,US,"",20681 South Dakota Highway 240,"","",Mailing
185,,128,63965,Kelly Township,MO,US,"",NPS Road 103,"","",Physical
186,,128,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
187,,129,46360,Michigan City,IN,US,"",Central Avenue Beach Parking Lot,151 Central Ave,"",Physical
188,,129,46304,Porter,IN,US,"",1100 North Mineral Springs Road,"","",Mailing
189,,132,79036,Fritch,TX,US,"","","","",Physical
190,,133,49931,Houghton,MI,US,"","","","",Physical
191,,134,20837,Poolesville,MD,US,"","","","",Physical
192,,135,79834,Big Bend National Park,TX,US,"",Chisos Basin Campground,"","",Physical
193,,135,79834,Big Bend National Park,TX,US,"",Big Bend National Park,PO Box 129,"",Mailing
194,,136,22172,Triangle,VA,US,"",18170 Park Entrance Road,"","",Physical
195,,136,22172,Triangle,VA,US,"",18100 Park Headquarters Road,"","",Mailing
196,,139,90265,Malibu,CA,US,"",12896 Yerba Buena Rd,"","",Physical
197,,139,90265,Malibu,CA,US,"",12896 Yerba Buena Rd,"","",Mailing
198,,140,83312,Almo,ID,US,"",City of Rocks National Reserve Visitor Center,3035 Elba-Almo Road,"",Physical
199,,140,83312,Almo,ID,US,"",City of Rocks National Reserve,PO Box 169,"",Mailing
200,,143,99131,Gifford,WA,US,"",Along WA 25,"","",Physical
201,,143,99116,Coulee Dam,WA,US,"",Lake Roosevelt National Recreation Area,1008 Crest Drive,"",Mailing
202,,144,63965,Kelly Township,MO,US,"",NPS Road 107,"","",Physical
203,,144,63965,Van Buren,MO,US,"",P.O. Box 490,"","",Mailing
204,,145,94956,Point Reyes Station,CA,US,"",1 Bear Valley Road,"","",Physical
205,,145,94956,Point Reyes Station,CA,US,"",1 Bear Valley Road,"","",Mailing
206,,146,93271,Sequoia National Park,CA,US,"","Mile 23.4, Mineral King Road","","",Physical
207,,146,93271,Three Rivers,CA,US,"",47050 Generals Highway,"","",Mailing
208,,148,98284,Sedro-Woolley,WA,US,"",Colonial Creek Campground,c/o North Cascades National Park Service Complex,Milepost 130 SR 20,Physical
209,,148,98284,Sedro-Woolley,WA,US,"",810 SR 20,"","",Mailing
210,,149,98284,Sedro-Woolley,WA,US,"",Colonial Creek Campground,c/o North Cascades National Park Service Complex,Milepost 130 SR 20,Physical
211,,149,98284,Sedro-Woolley,WA,US,"",Colonial Creek Campground,c/o North Cascades National Park Service Complex,810 State Route 20,Mailing
212,,150,86040,Page,AZ,US,"",Colorado River upstream of Lees Ferry,"","",Physical
213,,150,86040,Page,AZ,US,"",PO Box 1507,"","",Mailing
214,,151,83013,Moran,WY,US,"",100 Colter Bay Campground Road,Colter Bay Campground,"",Physical
215,,151,83013,Moran,WY,US,"",P.O. Box 250,"","",Mailing
