id,campgroundId,trashRecyclingCollection,toilets,internetConnectivity,showers,cellPhoneReception,laundry,amphitheater,dumpStation,campStore,staffOrVolunteerHostOnsite,potableWater,iceAvailableForSale,firewoodForSale,foodStorageLockers
1,1,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
2,2,Yes - seasonal,[Flush Toilets - seasonal],false,[None],false,false,No,false,false,Yes - seasonal,[Yes - seasonal],false,false,No
3,3,No,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
4,4,Yes - seasonal,[Composting Toilets - year round],false,[None],false,false,Yes - seasonal,false,false,Yes - seasonal,[Yes - seasonal],false,false,Yes - year round
5,5,Yes - seasonal,[Vault Toilets - seasonal],false,[None],false,false,No,false,false,No,[Yes - seasonal],false,false,No
6,6,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
7,7,Yes - year round,[Flush Toilets - year round],false,"[Hot - Year Round, Free - Year Round]",false,false,Yes - seasonal,false,false,Yes - seasonal,[Yes - seasonal],false,false,No
8,8,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,Yes - year round
9,9,,[],false,[],false,false,,false,false,,[],false,false,
10,10,No,[Vault Toilets - year round],false,[None],false,false,No,false,false,Yes - year round,[No water],false,false,Yes - year round
11,11,Yes - year round,[Flush Toilets - year round],false,"[Hot - Year Round, Free - Year Round]",false,false,No,false,false,Yes - year round,[Yes - year round],false,false,No
12,12,No,[Portable Toilets - year round],false,[None],false,false,No,false,false,No,[Yes - seasonal],false,false,No
13,13,Yes - year round,"[Flush Toilets - seasonal, Vault Toilets - seasonal]",false,[Free - Seasonal],false,false,Yes - seasonal,false,false,Yes - seasonal,[Yes - seasonal],false,false,Yes - year round
14,14,Yes - year round,[Composting Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
15,15,Yes - year round,[Flush Toilets - seasonal],false,[None],false,false,Yes - seasonal,false,false,Yes - seasonal,[Yes - seasonal],false,false,Yes - year round
16,16,Yes - seasonal,[Vault Toilets - seasonal],false,[None],false,false,No,false,false,No,[Yes - seasonal],false,false,Yes - seasonal
17,17,,[],false,[],false,false,,false,false,,[],false,false,
18,18,No,[Vault Toilets - seasonal],false,[None],false,false,No,false,false,No,"[Water, ' but not potable']",false,false,Yes - seasonal
19,19,Yes - seasonal,[Flush Toilets - seasonal],false,[None],false,false,No,false,false,Yes - seasonal,[Yes - seasonal],false,false,Yes - seasonal
20,20,Yes - year round,[Flush Toilets - year round],false,[None],false,false,No,false,false,Yes - seasonal,[Yes - year round],false,false,Yes - year round
21,21,No,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
22,22,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,Yes - seasonal,[No water],false,false,No
23,23,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,Yes - seasonal,[No water],false,false,No
24,24,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,Yes - seasonal,[No water],false,false,No
25,25,No,[Vault Toilets - year round],false,[None],false,false,No,false,false,No,[No water],false,false,No
26,26,Yes - year round,[Vault Toilets - year round],false,[None],false,false,No,false,false,Yes - seasonal,[No water],false,false,No
