id,campgroundId,other,group,horse,totalSites,tentOnly,rvOnly,electricalHookups,walkBoatTo
1,1,0,1,0,18,0,0,0,0
2,2,0,0,0,16,4,0,0,0
3,3,0,0,0,2,0,0,0,2
4,4,0,0,0,22,0,0,22,0
5,5,0,4,0,4,4,0,0,0
6,6,0,0,0,4,4,0,0,0
7,7,0,3,0,146,3,0,27,0
8,8,0,0,0,6,6,0,0,0
9,9,0,0,0,0,0,0,0,0
10,10,0,1,0,7,7,0,0,7
11,11,0,0,0,104,0,104,104,0
12,12,0,0,0,20,20,0,0,20
13,13,0,5,0,194,0,0,0,0
14,14,11,0,0,11,0,0,0,0
15,15,0,0,0,52,13,0,0,5
16,16,0,0,0,21,21,0,0,0
17,17,1,1,0,1,1,0,0,1
18,18,0,0,0,6,6,0,0,6
19,19,0,0,0,87,0,0,0,4
20,20,0,0,0,110,0,0,0,0
21,21,0,0,0,1,0,0,0,0
22,22,0,15,0,1,1,0,0,1
23,23,0,25,0,1,1,0,0,1
24,24,0,25,0,1,1,0,0,1
25,25,0,10,0,1,1,0,0,1
26,26,0,25,0,1,1,0,0,1
27,27,0,25,0,1,1,0,0,1
28,28,0,0,0,10,10,0,0,0
29,29,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0
31,31,36,0,0,36,36,0,0,36
32,32,0,0,24,27,27,0,0,27
33,33,0,0,0,37,4,1,0,4
34,34,0,0,1,1,1,0,0,1
35,35,0,0,0,43,19,0,0,0
36,36,0,2,0,149,39,108,98,0
37,37,0,0,0,30,16,0,0,0
38,38,0,4,0,33,33,0,0,33
39,39,0,3,0,28,28,0,0,28
40,40,0,0,0,11,0,0,0,0
41,41,0,6,0,22,0,0,0,0
42,42,0,0,23,23,23,23,23,0
43,43,0,0,0,40,0,0,0,0
44,44,0,0,0,6,6,0,0,6
45,45,3,0,0,3,0,0,0,3
46,46,0,0,0,21,0,0,0,0
47,47,0,0,0,18,0,0,0,0
48,48,4,3,0,45,3,0,0,0
49,49,6,0,0,7,1,0,0,7
