id,parkId,campgroundId,description,phoneNumber,extension,type
1,,1,,(830) 775-7491,,Voice
2,,2,,865-856-2445,,Voice
3,,3,,(877) 444-6777,,Voice
4,,4,,(406) 666-2333,,Voice
5,,4,,406-679-5599,,Fax
6,,5,,5733234236,,Voice
7,,6,,5203876849,,Voice
8,,7,,(573) 226-3945,,Voice
9,,8,,4232867275,,Voice
10,,10,,8056585730,,Voice
11,,11,,928-645-5900,5077,Voice
12,,12,,301-739-4200,,Voice
13,,13,,1-877-444-6777,,Voice
14,,14,,3044650508,,Voice
15,,15,,9705861206,,Voice
16,,16,,5595653341,,Voice
17,,16,,5595653730,,Fax
18,,17,,(906) 387-3700,,Voice
19,,18,,(906) 387-3700,,Voice
20,,19,,1-877-444-6777,,Voice
21,,20,,5595653341,,Voice
22,,20,,5595653730,,Fax
23,,21,,(573) 323-4236,,Voice
24,,22,,4106411441,,Voice
25,,23,,4106411441,,Voice
26,,24,,4106411441,,Voice
27,,25,,4106411441,,Voice
28,,26,,4106411441,,Voice
29,,27,,4106411441,,Voice
30,,28,,5754796124,206,Voice
31,,31,,631-569-2100,,Voice
32,,32,,719-378-6395,,Voice
33,,33,,775-234-7331,,Voice
34,,34,,301-739-4200,,Voice
35,,36,,4235699778,,Voice
36,,36,,4235692816,,Fax
37,,37,,307-548-7230,,Voice
38,,37,,307-899-1401,,TTY
39,,38,,9076972627,,Voice
40,,39,,2313264700,,Voice
41,,40,,(573) 323-4236,,Voice
42,,41,,4106411441,,Voice
43,,42,,4232867275,,Voice
44,,43,,239-695-4111,3,Voice
45,,44,,(906) 387-3700,,Voice
46,,45,,9064820984,,Voice
47,,47,,760-367-3001,,Voice
48,,48,,3074675283,741,Voice
49,,48,,3074675350,,Fax
50,,49,,9064820984,,Voice
51,,50,,(906) 387-3700,,Voice
52,,51,,415-331-1540,,Voice
53,,52,,828-486-5910,,Voice
54,,53,,(540) 999-3500,,Voice
55,,53,,(800) 828-1120,,TTY
56,,54,,207-456-6001,,Voice
57,,55,,207-456-6001,,Voice
58,,56,,207-456-6001,,Voice
59,,57,,(573) 323-4236,,Voice
60,,58,,(573) 323-4236,,Voice
61,,59,,301-739-4200,,Voice
62,,60,,9064820984,,Voice
63,,61,,3619498068,,Voice
64,,62,,307-568-5406,,Voice
65,,63,,706-252-6100,,Voice
66,,64,,760-367-3001,,Voice
67,,65,,207-288-3274,,Voice
68,,66,,8068573151,,Voice
69,,67,,4232867275,,Voice
70,,69,,(573) 323-4236,,Voice
71,,70,,8068573151,,Voice
72,,71,,803-776-4396,,Voice
73,,72,,305.230.1144,,Voice
74,,72,,305.230.1190,,Fax
75,,73,,520-824-3560,,Voice
76,,74,,702-293-8906,,Voice
77,,75,,702-293-8906,,Voice
78,,76,,(605) 665-0209,,Voice
79,,77,,(406) 888-7800,,Voice
80,,78,,530-242-3412,,Voice
81,,79,,530-242-3412,,Voice
82,,80,,912-882-4336,254,Voice
83,,81,,209/375-9535,,Voice
84,,82,,307-344-7311,,Voice
85,,82,,307-344-7456,,Fax
86,,82,,307-344-5395,,TTY
87,,83,,(573) 323-4236,,Voice
88,,85,,907-246-3305,,Voice
89,,86,,5595653341,,Voice
90,,86,,5595653730,,Fax
91,,87,,580-622-7234,,Voice
92,,88,,5806227234,,Voice
93,,89,,5806227234,,Voice
94,,90,,5806227234,,Voice
95,,91,,870-449-4311,,Voice
96,,92,,8068573151,,Voice
97,,93,,888.896.3829,,Voice
98,,94,,239-695-4111,3,Voice
99,,95,,3044650508,,Voice
100,,97,,530-595-6121,,Voice
101,,98,,703-221-5843,,Voice
102,,99,,703-221-5843,,Voice
103,,100,,703-221-5843,,Voice
104,,101,,703-221-5843,,Voice
105,,102,,703-221-5843,,Voice
106,,103,,703-221-5843,,Voice
107,,104,,301-739-4200,,Voice
108,,105,,(865) 448-2472,2,Voice
109,,106,,(865) 448-2472,2,Voice
110,,107,,301-739-4200,,Voice
111,,108,,702-293-8990,,Voice
112,,110,,209/372-8502,,Voice
113,,112,,(877) 444-6777,,Voice
114,,113,,509.720.9544,,Voice
115,,114,,(877) 444-6777,,Voice
116,,115,,(386) 428-3384,,Voice
117,,116,,307-344-7311,,Voice
118,,116,,307-344-7456,,Fax
119,,116,,307-344-5395,,TTY
120,,117,,907-983-9200,,Voice
121,,118,,9286722700,,Voice
122,,118,,9286722703,,Fax
123,,119,,5595653341,,Voice
124,,119,,5595653730,,Fax
125,,120,,2524732111,,Voice
126,,121,,9064820984,,Voice
127,,122,,870-439-2502,,Voice
128,,123,,828-269-3161,,Voice
129,,124,,5415922100,,Voice
130,,125,,8068573151,,Voice
131,,126,,(573) 323-4236,,Voice
132,,127,,605-433-5460,,Voice
133,,128,,(573) 323-4236,,Voice
134,,129,,219-395-1882,,Voice
135,,130,,580-622-7234,,Voice
136,,131,,(906) 387-3700,,Voice
137,,133,,9064820984,,Voice
138,,134,,301-739-4200,,Voice
139,,135,,432-477-1121,,Voice
140,,136,,7032217181,,Voice
141,,137,,(970) 641-2337,,Voice
142,,138,,340-714-7144,,Voice
143,,139,,8053702301,,Voice
144,,140,,208–824–5901,,Voice
145,,141,,(906) 387-3700,,Voice
146,,142,,(906) 387-3700,,Voice
147,,143,,(509) 754-7800,,Voice
148,,144,,(573) 323-4236,,Voice
149,,145,,415-464-5100,,Voice
150,,146,,5595653341,,Voice
151,,146,,5595653730,,Fax
152,,147,,580-622-7234,,Voice
153,,148,,360-854-7200,,Voice
154,,148,,360-856-1934,,Fax
155,,149,,360-854-7200,,Voice
156,,149,,360-856-1934,,Fax
157,,151,,307-543-2811,,Voice
158,,151,,307-543-3143,,Fax
159,,152,,307-543-3100,,Voice
160,,152,,307-543-3143,,Fax
161,,154,,(423) 487-2683,,Voice
162,,155,,7016234466,,Voice
163,,156,,760-367-3001,,Voice
164,,157,,432-477-1121,,Voice
165,,160,,360-569-6626,,Voice
166,,161,,(906) 387-3700,,Voice
167,,162,,(906) 387-3700,,Voice
168,,163,,(828) 675-5444,,Voice
169,,164,,209/379-2123,,Voice
170,,165,,530-242-3412,,Voice
171,,166,,5595653341,,Voice
172,,166,,5595653730,,Fax
173,,167,,5595653341,,Voice
174,,167,,5595653730,,Fax
175,,168,,301-739-4200,,Voice
176,,170,,2313264700,5035,Voice
177,,171,,2313264700,,Voice
