id,parkId,campgroundId,credit,title,altText,caption,url
1,,1,NPS Photo,277 North Campground,277 North Campground,277 North Campground,https://www.nps.gov/common/uploads/structured_data/6074AEF5-C153-C931-79C614E3D22A3CB4.jpg
2,,1,NPS Photo`,"277 North Campground, Standard Campsite",Picnic table under shade shelter.,"277 North Campground, Standard Campsite",https://www.nps.gov/common/uploads/structured_data/607CE792-ACEF-DBDA-E0B625666F2F9DA2.jpg
3,,1,NPS Photo / J.Rolls,277 North Group Campsite,Open space with a fire pit and covered picnic area for the group campsite.,227 North Campground Group Campsite Facilities,https://www.nps.gov/common/uploads/structured_data/FDE685F8-A53B-66A4-6348D4529CA3F2CB.jpg
4,,1,NPS / J. Rolls,"277 North Campground, Standard Site 1",Picnic table under metal shade shelter,"277 North Campground, Standard Site 1",https://www.nps.gov/common/uploads/structured_data/9472362E-F073-7B1A-0587FE25080BB8FF.jpg
5,,1,NPS Photo / J. Rolls,"277 North Campground, Standard Site 2",Picnic table on cement pad under metal shade shelter,"277 North Campground, Standard Site 2",https://www.nps.gov/common/uploads/structured_data/9D90A782-FBF3-9E0E-A934921502F94966.jpg
6,,1,NPS Photo / J. Rolls,"277 North Campground, Standard Site 13",Picnic table on cement pad under shade shelter with BBQ grill,"277 North Campground, Standard Site 13",https://www.nps.gov/common/uploads/structured_data/A1E80B5E-095F-0F99-C521DEA71C26FC59.jpg
7,,2,NPS Photo,Waterside Sites_Abrams Creek Campground,"Three campsites in a forested area near a creek, one with a large blue and white tent.",Abrams Creek Campground offers many waterside sites.,https://www.nps.gov/common/uploads/structured_data/65FF067A-01D4-2AD1-5099A9E592C38E82.jpg
8,,2,NPS Photo,Waterside Tent Pad_Abrams Creek Campground,"A square tent pad at a waterside site with a picnic table and grill, near an orange and white tent.","Each site offers a gravel tent pad, a grill, and a picnic table. Nearby sites are typically visible.",https://www.nps.gov/common/uploads/structured_data/66160924-F8A6-93D2-4CEF9778F105BD06.jpg
9,,2,NPS Photo,Shaded Site_Abrams Creek Campground,"A forested campsite with a tent pad, picnic table, and grill. A nearby tent pad is visible.",Most sites offer ample shade.,https://www.nps.gov/common/uploads/structured_data/664AF241-FE11-9F7E-2786DFD57493F67B.jpg
10,,2,NPS Photo,Accessible Restrooms_Abrams Creek Campground,"A campground restroom with a paved pathway to it. A sign beside a door says, ""Wash dishes here"".",Abrams Creek Campground provides accessible restrooms and a dishwashing area.,https://www.nps.gov/common/uploads/structured_data/6662CA5C-CEB3-F51D-C5234814EF8C98CE.jpg
