id,npsId,name
1,28AEAE85-9DDA-45B6-981B-1CFCDCC61E14,African American Heritage
2,F3883A66-A7CB-461B-868E-1B5932224B25,American Revolution
3,FB3641FE-67A3-4EC7-B9C4-0A0867776798,Ancient Seas
4,0D00073E-18C3-46E5-8727-2F87B112DDC6,Animals
5,7F81A0CB-B91F-4896-B9A5-41BE9A54A27B,Archeology
6,69693007-2DF2-4EDE-BB3B-A25EBA72BDF5,Architecture and Building
7,77B7EFDF-1A74-409C-8BA2-324EC919DB0E,Arctic
8,00F3C3F9-2D67-4802-81AE-CCEA5D3BA370,Arts
9,227D2677-28CA-4CBF-997F-61108975A497,Asian American Heritage
10,B912363F-771C-4098-BA3A-938DF38A9D7E,Aviation
11,FC27FD15-62AA-4662-A97F-8E2A1A7CDE35,Banking
12,D10852A3-443C-4743-A5FA-6DD6D2A054B3,Birthplace
13,607D41B0-F830-4C07-A557-BCEF880A3929,"Burial, Cemetery and Gravesite"
14,BCE3ACBE-7871-495B-AEA3-5E19BC482405,Canyons and Canyonlands
15,E25F3456-43ED-45DD-93BC-057F9B944F7A,"Caves, Caverns and Karst"
16,4DC11D06-00F1-4A01-81D0-89CCCCE4FF50,Climate Change
17,46FC5CBD-9AD5-48F1-B4DA-1357031B1D2E,"Coasts, Islands and Atolls"
18,7F12224B-217A-4B07-A4A2-636B1CE7F221,Colonization and Settlement
19,1170EEB6-5070-4760-8E7D-FF1A98272FAD,Commerce
20,DAAD7F5E-9112-45F2-9A27-DA51B639F27E,Dams
21,CDD8F34E-3BD4-425A-8264-4F0BA0DFBA38,Dunes
22,FE005582-12C5-472C-8229-3CB004DB050E,Engineering
23,D9FC6D14-F8C7-4EBA-86EA-DFD99B6BB4F5,Enslavement
24,F79C1242-80FF-40F0-A0C1-5FFCBA172EC0,Estuaries and Mangroves
25,12EA2B56-17EC-410A-A10D-BFBA87A0669B,Explorers and Expeditions
26,1F833C99-A75D-4F9E-9256-B96523485466,Farming and Agriculture
27,04A39AB8-DD02-432F-AE5F-BA1267D41A0D,Fire
28,9F6A7003-59D6-4438-935F-760FD04C1073,"Foothills, Plains and Valleys"
29,41B1A0A3-11FF-4F55-9CB9-034A7E28B087,Forests and Woodlands
30,988B4AFC-F478-4673-B66D-E6BDB0CCFF35,Forts
31,F6D3A52E-608F-47D6-96DF-1FD64122A2FC,Fossils and Paleontology
32,F0F97E32-2F29-41B4-AF98-9FBE8DAB36B1,Geology
